Abies balsamea,Pinaceae
Abutilon theophrasti,Malvaceae
Acalypha rhomboidea,Euphorbiaceae
Acer pensylvanicum,Sapindaceae
Acer rubrum,Sapindaceae
Acer saccharum,Sapindaceae
Acer spicatum,Sapindaceae
Achillea millefolium,Asteraceae
Actaea pachypoda,Ranunculaceae
Actaea rubra,Ranunculaceae
Adiantum pedatum,Pteridaceae
Aegopodium podagraria,Apiaceae
Agalinis paupercula,Orobanchaceae
Agalinis purpurea,Orobanchaceae
Agrimonia gryposepala,Rosaceae
Agrostis canina,Poaceae
Agrostis capillaris,Poaceae
Agrostis gigantea,Poaceae
Agrostis hyemalis,Poaceae
Agrostis perennans,Poaceae
Agrostis stolonifera,Poaceae
Ajuga reptans,Lamiaceae
Alisma plantago-aquatica,Alismataceae
Alliaria petiolata,Brassicaceae
Alnus hirsuta,Betulaceae
Alnus incana,Betulaceae
Alnus serrulata,Betulaceae
Alopecurus pratensis,Poaceae
Amaranthus retroflexus,Amaranthaceae
Ambrosia artemisiifolia,Asteraceae
Ambrosia psilostachya,Asteraceae
Amelanchier sp.,Rosaceae
Amelanchier canadensis,Rosaceae
Amelanchier laevis,Rosaceae
Amelanchier stolonifera,Rosaceae
Ampelopsis brevipedunculata,Vitaceae
Amphicarpaea bracteata,Fabaceae
Anaphalis margaritacea,Asteraceae
Andromeda glaucophylla,Ericaceae
Andropogon gerardii,Poaceae
Anemone americana,Ranunculaceae
Anemone quinquefolia,Ranunculaceae
Anemone virginiana,Ranunculaceae
Angelica atropurpurea,Apiaceae
Antennaria neglecta,Asteraceae
Antennaria plantaginifolia,Asteraceae
Anthemis cotula,Asteraceae
Anthoxanthum odoratum,Poaceae
Apios americana,Fabaceae
Apocynum androsaemifolium,Apocynaceae
Aquilegia canadensis,Ranunculaceae
Aquilegia vulgaris,Ranunculaceae
Arabis glabra,Brassicaceae
Aralia hispida,Araliaceae
Aralia nudicaulis,Araliaceae
Aralia racemosa,Araliaceae
Aralia spinosa,Araliaceae
Arceuthobium pusillum,Santalaceae
Arctium minus,Asteraceae
Arisaema triphyllum,Araceae
Armoracia rusticana,Brassicaceae
Aronia arbutifolia,Rosaceae
Aronia melanocarpa,Rosaceae
Arrhenatherum elatius,Poaceae
Artemisia vulgaris,Asteraceae
Asarum canadense,Aristolochiaceae
Asclepias exaltata,Apocynaceae
Asclepias incarnata,Apocynaceae
Asclepias syriaca,Apocynaceae
Asplenium platyneuron,Aspleniaceae
Asplenium trichomanes,Aspleniaceae
Aster acuminatus,Asteraceae
Aster cordifolius,Asteraceae
Aster divaricatus,Asteraceae
Aster ericoides,Asteraceae
Aster fragilis,Asteraceae
Aster laevis,Asteraceae
Aster lateriflorus,Asteraceae
Aster linariifolius,Asteraceae
Aster macrophyllus,Asteraceae
Aster nemoralis,Asteraceae
Aster novae-angliae,Asteraceae
Aster novi-belgii,Asteraceae
Aster paternus,Asteraceae
Aster pilosus,Asteraceae
Aster puniceus,Asteraceae
Aster umbellatus,Asteraceae
Aster undulatus,Asteraceae
Athyrium filix-femina,Woodsiaceae
Aureolaria pedicularia,Orobanchaceae
Aureolaria virginica,Orobanchaceae
Barbarea vulgaris,Brassicaceae
Bartonia virginica,Gentianaceae
Berberis thunbergii,Berberidaceae
Berberis vulgaris,Berberidaceae
Betula alleghaniensis,Betulaceae
Betula lenta,Betulaceae
Betula papyrifera,Betulaceae
Betula populifolia,Betulaceae
Bidens cernua,Asteraceae
Bidens connata,Asteraceae
Bidens frondosa,Asteraceae
Bidens vulgata,Asteraceae
Boehmeria cylindrica,Urticaceae
Botrychium dissectum,Ophioglossaceae
Botrychium lanceolatum,Ophioglossaceae
Botrychium multifidum,Ophioglossaceae
Botrychium oneidense,Ophioglossaceae
Botrychium simplex,Ophioglossaceae
Botrychium virginianum,Ophioglossaceae
Brachyelytrum septentrionale,Poaceae
Brasenia schreberi,Cabombaceae
Brassica sp.,Brassicaceae
Bromus ciliatus,Poaceae
Bulbostylis capillaris,Cyperaceae
Calamagrostis canadensis,Poaceae
Calla palustris,Araceae
Callitriche heterophylla,Plantaginaceae
Callitriche verna,Plantaginaceae
Calopogon tuberosus,Orchidaceae
Caltha palustris,Ranunculaceae
Calystegia sepium,Convolvulaceae
Campanula aparinoides,Campanulaceae
Campanula rapunculoides,Campanulaceae
Capsella bursa-pastoris,Brassicaceae
Cardamine pensylvanica,Brassicaceae
Carex abscondita,Cyperaceae
Carex albicans var. emmonsii,Cyperaceae
Carex annectens,Cyperaceae
Carex appalachica,Cyperaceae
Carex arctata,Cyperaceae
Carex argyrantha,Cyperaceae
Carex atlantica var. capillacea,Cyperaceae
Carex blanda,Cyperaceae
Carex brevior,Cyperaceae
Carex bromoides,Cyperaceae
Carex brunnescens,Cyperaceae
Carex canescens,Cyperaceae
Carex cephalophora,Cyperaceae
Carex communis,Cyperaceae
Carex comosa,Cyperaceae
Carex crinita,Cyperaceae
Carex cryptolepis,Cyperaceae
Carex debilis,Cyperaceae
Carex deweyana,Cyperaceae
Carex digitalis,Cyperaceae
Carex disperma,Cyperaceae
Carex echinata,Cyperaceae
Carex folliculata,Cyperaceae
Carex gracillima,Cyperaceae
Carex granularis,Cyperaceae
Carex gynandra,Cyperaceae
Carex intumescens,Cyperaceae
Carex lacustris,Cyperaceae
Carex lasiocarpa,Cyperaceae
Carex laxiculmis,Cyperaceae
Carex laxiflora,Cyperaceae
Carex leptalea,Cyperaceae
Carex leptonervia,Cyperaceae
Carex lucorum,Cyperaceae
Carex lupulina,Cyperaceae
Carex lurida,Cyperaceae
Carex merritt-fernaldii,Cyperaceae
Carex muhlenbergii,Cyperaceae
Carex normalis,Cyperaceae
Carex novae-angliae,Cyperaceae
Carex ormostachya,Cyperaceae
Carex pallescens,Cyperaceae
Carex pedunculata,Cyperaceae
Carex pensylvanica,Cyperaceae
Carex plantaginea,Cyperaceae
Carex platyphylla,Cyperaceae
Carex prasina,Cyperaceae
Carex projecta,Cyperaceae
Carex radiata,Cyperaceae
Carex rosea,Cyperaceae
Carex scabrata,Cyperaceae
Carex scoparia,Cyperaceae
Carex stipata,Cyperaceae
Carex stricta,Cyperaceae
Carex swanii,Cyperaceae
Carex tenera,Cyperaceae
Carex torta,Cyperaceae
Carex tribuloides,Cyperaceae
Carex trisperma,Cyperaceae
Carex tuckermanii,Cyperaceae
Carex umbellata,Cyperaceae
Carex utriculata,Cyperaceae
Carex vesicaria,Cyperaceae
Carex vestita,Cyperaceae
Carex virescens,Cyperaceae
Carex vulpinoidea,Cyperaceae
Carpinus caroliniana,Betulaceae
Carum carvi,Apiaceae
Carya cordiformis,Juglandaceae
Carya glabra,Juglandaceae
Carya ovata,Juglandaceae
Castanea dentata,Fagaceae
Castanea mollissima,Fagaceae
Caulophyllum thalictroides,Berberidaceae
Celastrus orbiculatus,Celastraceae
Celastrus scandens,Celastraceae
Centaurea biebersteinii,Asteraceae
Cephalanthus occidentalis,Rubiaceae
Cerastium fontanum,Caryophyllaceae
Chamaedaphne calyculata,Ericaceae
Chamaesyce maculata,Euphorbiaceae
Chelidonium majus,Papaveraceae
Chelone glabra,Plantaginaceae
Chenopodium album,Amaranthaceae
Chimaphila maculata,Ericaceae
Chimaphila umbellata,Ericaceae
Chrysanthemum leucanthemum,Asteraceae
Chrysosplenium americanum,Saxifragaceae
Cichorium intybus,Asteraceae
Cicuta bulbifera,Apiaceae
Cicuta maculata,Apiaceae
Cinna latifolia,Poaceae
Circaea alpina,Onagraceae
Circaea lutetiana,Onagraceae
Cirsium arvense,Asteraceae
Cirsium vulgare,Asteraceae
Cladium mariscoides,Cyperaceae
Clematis virginiana,Ranunculaceae
Clethra alnifolia,Clethraceae
Clinopodium vulgare,Lamiaceae
Clintonia borealis,Liliaceae
Coeloglossum viride,Orchidaceae
Comandra umbellata,Santalaceae
Commelina communis,Commelinaceae
Comptonia peregrina,Myricaceae
Convallaria majalis,Asparagaceae
Conyza canadensis,Asteraceae
Coptis trifolia,Ranunculaceae
Corallorhiza maculata,Orchidaceae
Corallorhiza trifida,Orchidaceae
Cornus alternifolia,Cornaceae
Cornus amomum,Cornaceae
Cornus canadensis,Cornaceae
Cornus florida,Cornaceae
Cornus racemosa,Cornaceae
Cornus rugosa,Cornaceae
Cornus sericea,Cornaceae
Corydalis sempervirens,Papaveraceae
Corylus americana,Betulaceae
Corylus cornuta,Betulaceae
Crataegus sp.,Rosaceae
Crataegus macrosperma,Rosaceae
Crocus sp.,Iridaceae
Cuscuta gronovii,Convolvulaceae
Cynoglossum virginianum,Boraginaceae
Cyperus bipartitus,Cyperaceae
Cyperus erythrorhizos,Cyperaceae
Cyperus esculentus,Cyperaceae
Cyperus lupulinus,Cyperaceae
Cyperus strigosus,Cyperaceae
Cypripedium acaule,Orchidaceae
Cystopteris fragilis,Cystopteridaceae
Dactylis glomerata,Poaceae
Dalibarda repens,Rosaceae
Danthonia compressa,Poaceae
Danthonia spicata,Poaceae
Daucus carota,Apiaceae
Decodon verticillatus,Lythraceae
Dennstaedtia punctilobula,Dennstaedtiaceae
Deparia acrostichoides,Athyriaceae
Desmodium glutinosum,Fabaceae
Desmodium nudiflorum,Fabaceae
Dianthus armeria,Caryophyllaceae
Dianthus barbatus,Caryophyllaceae
Dianthus deltoides,Caryophyllaceae
Dicentra eximia,Papaveraceae
Dichanthelium acuminatum subsp. columbianum,Poaceae
Dichanthelium acuminatum subsp. fasciculatum,Poaceae
Dichanthelium acuminatum subsp. implicatum,Poaceae
Dichanthelium acuminatum subsp. spretum,Poaceae
Dichanthelium boreale,Poaceae
Dichanthelium clandestinum,Poaceae
Dichanthelium dichotomum,Poaceae
Dichanthelium latifolium,Poaceae
Dichanthelium linearifolium,Poaceae
Dichanthelium xanthophysum,Poaceae
Diervilla lonicera,Caprifoliaceae
Digitalis sp.,Plantaginaceae
Digitaria ischaemum,Poaceae
Digitaria sanguinalis,Poaceae
Diphasiastrum digitatum,Lycopodiaceae
Diphasiastrum tristachyum,Lycopodiaceae
Dirca palustris,Thymelaeaceae
Drosera intermedia,Droseraceae
Drosera rotundifolia,Droseraceae
Dryopteris carthusiana,Dryopteridaceae
Dryopteris cristata,Dryopteridaceae
Dryopteris intermedia,Dryopteridaceae
Dryopteris marginalis,Dryopteridaceae
Dryopteris uliginosa,Dryopteridaceae
Dryopteris x boottii,Dryopteridaceae
Dryopteris x triploidea,Dryopteridaceae
Dulichium arundinaceum,Cyperaceae
Echinochloa crusgalli,Poaceae
Echinochloa muricata,Poaceae
Elaeagnus umbellata,Elaeagnaceae
Eleocharis acicularis,Cyperaceae
Eleocharis flavescens var. olivacea,Cyperaceae
Eleocharis obtusa,Cyperaceae
Eleocharis palustris,Cyperaceae
Eleocharis tenuis,Cyperaceae
Elymus hystrix,Poaceae
Elytrigia repens,Poaceae
Epifagus virginiana,Orobanchaceae
Epigaea repens,Ericaceae
Epilobium sp.,Onagraceae
Epilobium angustifolium,Onagraceae
Epilobium ciliatum,Onagraceae
Epilobium coloratum,Onagraceae
Epilobium leptophyllum,Onagraceae
Epilobium palustre,Onagraceae
Epipactis helleborine,Orchidaceae
Equisetum arvense,Equisetaceae
Equisetum sylvaticum,Equisetaceae
Eragrostis pectinacea,Poaceae
Eragrostis pilosa,Poaceae
Erechtites hieraciifolia,Asteraceae
Erigeron annuus,Asteraceae
Erigeron pulchellus,Asteraceae
Erigeron strigosus,Asteraceae
Eriophorum virginicum,Cyperaceae
Erysimum cheiranthoides,Brassicaceae
Erythronium americanum,Liliaceae
Euonymus alatus,Celastraceae
Euonymus fortunei,Celastraceae
Eupatorium maculatum,Asteraceae
Eupatorium perfoliatum,Asteraceae
Eupatorium purpureum,Asteraceae
Eupatorium rugosum,Asteraceae
Euphorbia cyparissias,Euphorbiaceae
Euthamia graminifolia,Asteraceae
Fagopyrum esculentum,Polygonaceae
Fagus grandifolia,Fagaceae
Fagus sylvatica,Fagaceae
Fallopia cilinodis,Polygonaceae
Fallopia convolvulus,Polygonaceae
Fallopia japonica,Polygonaceae
Fallopia scandens,Polygonaceae
Festuca sp.,Poaceae
Festuca arundinacea,Poaceae
Festuca filiformis,Poaceae
Festuca ovina,Poaceae
Festuca pratensis,Poaceae
Festuca rubra,Poaceae
Festuca trachyphylla,Poaceae
Fragaria virginiana,Rosaceae
Fraxinus americana,Oleaceae
Fraxinus nigra,Oleaceae
Galeopsis tetrahit,Lamiaceae
Galinsoga quadriradiata,Asteraceae
Galium asprellum,Rubiaceae
Galium circaezans,Rubiaceae
Galium lanceolatum,Rubiaceae
Galium mollugo,Rubiaceae
Galium palustre,Rubiaceae
Galium tinctorium,Rubiaceae
Galium trifidum,Rubiaceae
Galium triflorum,Rubiaceae
Gaultheria hispidula,Ericaceae
Gaultheria procumbens,Ericaceae
Gaylussacia baccata,Ericaceae
Gaylussacia frondosa,Ericaceae
Gentiana clausa,Gentianaceae
Gentiana linearis,Gentianaceae
Gentianopsis crinita,Gentianaceae
Geranium maculatum,Geraniaceae
Geranium robertianum,Geraniaceae
Geum aleppicum,Rosaceae
Geum canadense,Rosaceae
Geum laciniatum,Rosaceae
Geum rivale,Rosaceae
Glechoma hederacea,Lamiaceae
Glyceria borealis,Poaceae
Glyceria canadensis,Poaceae
Glyceria melicaria,Poaceae
Glyceria obtusa,Poaceae
Glyceria striata,Poaceae
Gnaphalium obtusifolium,Asteraceae
Gnaphalium uliginosum,Asteraceae
Goodyera pubescens,Orchidaceae
Goodyera tesselata,Orchidaceae
Gratiola aurea,Plantaginaceae
Gymnocarpium dryopteris,Cystopteridaceae
Hamamelis virginiana,Hamamelidaceae
Helianthemum bicknellii,Cistaceae
Helianthemum canadense,Cistaceae
Helianthus tuberosus,Asteraceae
Hemerocallis fulva,Xanthorrhoeaceae
Heracleum maximum,Apiaceae
Hesperis matronalis,Brassicaceae
Heteranthera dubia,Pontederiaceae
Hieracium sp.,Asteraceae
Hieracium aurantiacum,Asteraceae
Hieracium caespitosum,Asteraceae
Hieracium paniculatum,Asteraceae
Hieracium piloselloides,Asteraceae
Hieracium scabrum,Asteraceae
Hieracium umbellatum,Asteraceae
Hieracium venosum,Asteraceae
Holcus lanatus,Poaceae
Houstonia caerulea,Rubiaceae
Humulus lupulus,Cannabaceae
Huperzia lucidula,Lycopodiaceae
Hydrangea arborescens,Hydrangeaceae
Hydrocotyle americana,Araliaceae
Hypericum boreale,Hypericaceae
Hypericum canadense,Hypericaceae
Hypericum ellipticum,Hypericaceae
Hypericum gentianoides,Hypericaceae
Hypericum mutilum,Hypericaceae
Hypericum perforatum,Hypericaceae
Hypericum punctatum,Hypericaceae
Hypochaeris radicata,Asteraceae
Ilex laevigata,Aquifoliaceae
Ilex verticillata,Aquifoliaceae
Impatiens capensis,Balsaminaceae
